group,algorithm,feasible_rate,avg_vehicles,avg_distance,avg_travel_time,avg_runtime,std_vehicles,std_distance,std_travel_time,std_runtime
C1,ABC,100.0,567.8,332721.1447832,594051.6375683,90.9792328,117.39941321072358,16448.87517243924,81829.24170959607,0.640560012363106
C1,BIH,100.0,110.9,64868.43274420001,159275.3778532,416.31973099999993,11.464437767868658,13423.420150847167,13952.971571369138,68.47177441105124
C1,BIH-ACO,100.0,110.6,63101.2532442,158684.33137960001,98.5136254,10.996969279457563,9765.746587612795,12659.771281678546,7.169006355961553
C1,GWO,100.0,564.2,331519.4969196,592309.6163028,50.9168302,117.38805542113536,17153.178780882572,83577.03388622553,2.4866405130444913
C1,Standard ACO,100.0,184.5,108180.1139466,238783.0139963,92.7912527,42.421823524114465,23287.87562950689,37926.92734521243,2.216121545265061
C2,ABC,100.0,383.7,267070.9260204,948622.5696675999,90.8304038,92.03628511504459,10994.009414271333,203012.01248602732,0.6233203947530274
C2,BIH,100.0,37.6,40797.1029937,137504.914418,936.2702133999999,3.806427312965388,12149.554669867068,11935.50209949035,106.03806251771856
C2,BIH-ACO,100.0,37.6,40797.1029937,137504.914418,103.1992732,3.806427312965388,12149.554669867068,11935.50209949035,9.371534240688057
C2,GWO,100.0,382.0,266383.5496565,946749.1979444999,48.9735652,91.92388155425118,10280.723005499021,198242.49279825875,2.848177954122554
C2,Standard ACO,100.0,93.9,62542.63453920001,268603.8334585,94.321286,25.80891318905157,12808.397205216272,64896.38689501221,2.8431849001672207
R1,ABC,100.0,474.2,312331.8235353,587336.9919455,90.5214711,137.89915800242503,18725.166642249176,133381.1470741164,0.419524136256374
R1,BIH,100.0,94.4,89147.830657,140476.7408971,516.4307668,4.857983120596447,8460.269612551598,13930.274871576032,32.26289893391662
R1,BIH-ACO,100.0,94.4,89147.830657,140476.7408971,100.21265120000001,4.857983120596447,8460.269612551598,13930.274871576032,6.529801175646058
R1,GWO,100.0,469.9,310520.3784715,585152.8434406,51.138781,137.89807024675062,17871.310399601574,132088.2010432914,3.855325656150378
R1,Standard ACO,100.0,180.7,109860.87009119999,242767.143693,94.1847636,48.99671190781864,20214.811173085825,52945.28136735798,1.1071545739917887
R2,ABC,100.0,347.1,298225.8673553,1544231.8681643,90.9758576,136.87256847155314,19214.956598734858,549120.399798541,0.78608208159626
R2,BIH,100.0,19.2,59852.1871406,110022.90557929999,2211.6877567,0.6324555320336758,10857.775650654106,22464.016815214112,459.6774068293846
R2,BIH-ACO,100.0,19.2,59852.1871406,110022.90557929999,111.1635628,0.6324555320336758,10857.775650654106,22464.016815214112,17.846636688779217
R2,GWO,100.0,343.8,299545.59703330003,1518650.0688802,48.2953323,133.4747583294726,19103.366109181403,537895.4550073061,3.4034915889755553
R2,Standard ACO,100.0,94.4,89058.0689942,417716.5098743,99.8332575,32.29791874959678,17812.674097296018,123156.00300078967,7.922937510616452
RC1,ABC,100.0,569.6,328968.7754221,502253.5434493,90.4076281,125.22619534266782,16799.77287950609,64716.52060710226,0.2949518307130658
RC1,BIH,100.0,93.5,69674.9049977,125763.43044960001,702.9955312,2.1213203435596486,8642.482021045891,4692.871972717013,32.98174049080727
RC1,BIH-ACO,100.0,93.5,69674.9049977,125763.43044960001,100.1813713,2.1213203435596486,8642.482021045891,4692.871972717013,5.397443054429879
RC1,GWO,100.0,568.8,329666.9703787,503007.9909684,54.3964684,126.01393221033581,15761.365472713043,65567.7301490199,3.748991047584408
RC1,Standard ACO,100.0,149.0,91921.85798619999,170247.777949,92.72309920000001,25.342103744997615,11900.339686052239,21913.972405696873,1.9636209276355774
RC2,ABC,100.0,408.8,312850.5112694,1296028.981232,90.53596569999999,105.36265414694569,13117.560187832882,322451.0757666067,0.25330795698913805
RC2,BIH,100.0,21.6,39421.0995766,124728.01781279998,2070.2336571,2.9888682361946532,6774.240447790561,20000.05996499301,276.81763016484274
RC2,BIH-ACO,100.0,21.6,39421.0995766,124728.01781279998,101.5571582,2.9888682361946532,6774.240447790561,20000.05996499301,7.997798469899614
RC2,GWO,100.0,404.1,312667.7832638,1290697.1821972,50.5615327,105.61402474208727,12113.458438769447,324328.69754644734,3.1508034281423467
RC2,Standard ACO,100.0,73.0,71312.1775891,274178.9554867,95.0164624,21.07657994604965,10209.042018530072,72756.37949681663,4.288570252338083
